Район;Сокращенное наименование;Наименование;Руководитель;Адрес местонахождения;Телефон;Режим работы;ИНН;ОГРН;Количество мест;Электронный адрес;Сайт;Наличие филиала;Наличие ЕМТС;Факс;Юридический адрес;Источник данных;Подведомственно;Метро;Прочее;МО
"Красногвардейский";"Библиотека «Малоохтинская»";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красногвардейского района". Библиотека «Малоохтинская»";"Шуманская Ольга Анатольевна";"195196, г.Санкт-Петербург, Новочеркасский проспект, дом 49/20, литер А";"444-14-05";"10.00-20.00, вс 10.00-17.00, сб - выходной, последний чт месяца - санитарный день";"7806115232";"1027804196694";"40";"malooh@rambler.ru";"http://www.kr-cbs.ru/libraries/maloohtinskaia/";"Филиал";"Есть";"444-70-82, 444-14-05";"195027, г.Санкт-Петербург, Среднеохтинский проспект, дом 8, литер А";"";"Централизованная библиотечная система Красногвардейского района";"";"";"муниципальный округ №34 (Малая Охта)"
"Красногвардейский";"Малоохтинская библиотека";"Санкт-Петербургское государственное учрездение культуры "Централизованная библиотечная система Красногвардейского района" . Малоохтинская библиотека";"Кулинченко Любовь Валентиновна";"195196, г.Санкт-Петербург, улица Стахановцев, дом 4а, литер А";"528-17-03";"12.00-19.00, сб 10.00-17.00, кроме вс и пн";"7806115232";"1027804196694";"";"";"";"Филиал";"Проект 2008";"";"195027, г.Санкт-Петербург, Среднеохтинский проспект, дом 8, литер А";"";"Централизованная библиотечная система Красногвардейского района";"";"";"муниципальный округ №34 (Малая Охта)"
"Московский";"Центральная детская бибилиотека Московского района";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района". Центральная детская бибилиотека";"";"г.Санкт-Петербург, Московский проспект, дом 150, литер А";"388-06-75";"";"7810219724";"1037821003967";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Электросила, Московские Ворота";"";"муниципальное образование Московская застава"
"Московский";"Специализированная библиотека с Выставочным залом, филиал №3";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района". Специализированная библиотека с Выставочным залом, филиал №3";"Новикова Татьяна Ивановна";"196070, г.Санкт-Петербург, площадь Чернышевского, дом 6, литер А";"388-39-84";"";"7810219724";"1037821003967";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Парк Победы";"";"муниципальный округ Пулковский меридиан"
"Московский";"Библиотека Московского района, филиал №4";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района", филиал №4";"";"196105, г.Санкт-Петербург, Благодатная улица, дом 20, литер А";"389-35-67";"12.00-19.00, сб 11.00-18.00, вс - выходной, последнее день месяца - санитарный. лето сб и вс выходные";"7810219724";"1037821003967";"";"";"";"Филиал";"Проект 2008";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Электросила";"";"муниципальное образование Московская застава"
"Московский";"Музей-библиотека "Книги блокадного города", филиал №5";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района". Музей-библиотека "Книги блокадного города", филиал №5";"";"196135, г.Санкт-Петербург, проспект Юрия Гагарина, дом 17, литер А";"373-51-60";"";"7810219724";"1037821003967";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Парк Победы";"";"муниципальное образование Московская застава"
"Московский";"Библиотека им.С.Я.Маршака, филиал №6";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района" им.С.Я.Маршака, филиал №6";"";"г.Санкт-Петербург, Бассейная улица, дом 45, литер А";"388-33-77";"";"7810219724";"1037821003967";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Парк Победы";"";"муниципальное образование Московская застава"
"Невский";"Библиотека им. Ф. Абрамова, филиал №2";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система". Библиотека им. Ф. Абрамова, филиал №2";"Огнева Лилия Михайловна";"193131, г.Санкт-Петербург, Ивановская улица, дом 14, литер А";"560-88-11";"12.00-19.00, сб 11.00-18.00, вс - выходной (летом - сб, вс - выходные)";"7811005690";"1027806077617";"";"";"";"Филиал";"Проект 2008";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальный округ Ивановский"
"Невский";"Библиотека Невского района, филиал №3";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система", филиал №3";"Огнева Лилия Михайловна";"193148, г.Санкт-Петербург, улица Седова, дом 21, литер А";"265-04-90";"12.00-19.00, вс - выходной,  последний чт месяца - санитарный. Летом: до 18.45, сб и вс -выходные";"7811005690";"1027806077617";"";"";"";"Филиал";"";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальный округ №49"
"Невский";"Библиотека Невского района, филиал №13";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система", филиал №13";"Огнева Лилия Михайловна";"193171, г.Санкт-Петербург, Фарфоровская улица, дом 26, литер Д";"560-19-18";"13.00-19.00, сб и вс выходной, последний чт месяца - санитарный";"7811005690";"1027806077617";"";"";"";"Филиал";"Есть";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальный округ Ивановский"
"Невский";"Детская библиотека Невского района, филиал №8";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система". Детская библиотека, филиал №8";"Огнева Лилия Михайловна";"193029, г.Санкт-Петербург, улица Крупской, дом 37, литер А";"560-12-63";"";"7811005690";"1027806077617";"";"";"";"Филиал";"Есть";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальный округ №49"
"Невский";"Детская библиотека Невского района, филиал №11";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система". Детская библиотека, филиал №11";"Огнева Лилия Михайловна";"193131, г.Санкт-Петербург, бульвар Красных Зорь, дом 1, литер А";"362-16-77";"";"7811005690";"1027806077617";"";"";"";"Филиал";"Проект 2008";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальный округ Ивановский"
"Фрунзенский";"Библиотека центральная  им. А.П. Чехова";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района". Библиотека центральная  им. А.П. Чехова";"Николаева  Лидия Германовна (Буслаева Ольга Петровна)";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"705-11-91, 774-13-13, 774-53-08, 778-53-08";"Ежедневно с 11-00 до 20-00, вс 10-00 до 17-00, сб выходной, последний день месяца - санитарный";"7816010920";"1027807982773";"100";"";"";"Основное, есть филиал";"";"";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"";"";"";"муниципальное образование Купчино"
"Фрунзенский";"Библиотека им. М.В. Фрунзе, филиал №1";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района", филиал №1";"Абрамова  Валентина  Павловна";"192236, г.Санкт-Петербург, Софийская улица, дом 46, корпус 2, литер А";"268-27-36";"с 11-00 до 19-00, сб 11.00-18.00, вс - выходной";"7816010920";"1027807982773";"120";"";"";"Филиал";"";"";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"";"";"муниципальный округ №72"
"Фрунзенский";"Библиотека Фрунзенского района, филиал №3";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района", филиал №3";"Агафонова  Ирина  Николаевна";"192102, г.Санкт-Петербург, Стрельбищенская улица, дом 26, литер А";"766-68-28";"11-00 до 19-00, сб 10.00-17.00, вс - выходной";"7816010920";"1027807982773";"60";"";"";"Филиал";"";"";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"";"";"муниципальный округ Волковское"
"Фрунзенский";"Библиотека им. В.Г. Короленко, филиал №6";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района". Библиотека им. В.Г. Короленко, филиал №6";"Сидорова  Ольга  Викторовна";"192242, г.Санкт-Петербург, Бухарестская улица, дом 23, корпус 1, литер А";"774-33-08, 705-24-16";"С 11-00 до 18-00, выходной -Воскресенье";"7816010920";"1027807982773";"80";"";"";"Филиал";"";"774-33-08";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"Волковская";"";"муниципальный округ Волковское"
"Фрунзенский";"Детская библиотека "Сказка", филиал №9";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района". Детская библиотека "Сказка", филиал №9";"Атрешко  Екатерина  Вадимовна";"192238, г.Санкт-Петербург, улица Турку, дом 17, корпус 1, литер А";"360-81-37";"С 11-00 до 19-00, выходной  день -  воскресенье";"7816010920";"1027807982773";"";"";"";"Филиал";"";"";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"";"";"муниципальный округ №72"
"Фрунзенский";"Библиотека им. С.А. Есенина, филиал №10";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района". Библиотека им. С.А. Есенина, филиал №10";"Хорошилова  Ольга   Борисовна";"192007, г.Санкт-Петербург, Лиговский проспект, дом 215, литер А";"766-28-10";"11.00-19.00, сб 10.00-18.00, вс - выходной, последний день месяца - санитарный. Летом кроме сб, вс.";"7816010920";"1027807982773";"80";"";"";"Филиал";"";"";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"Обводный канал";"";"муниципальный округ Волковское"
"Фрунзенский";"Детская библиотека, филиал №12 - "Краеведческий  центр"";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района". Детская библиотека, филиал №12- "Краеведческий  центр"";"Молоткова  Елена  Александрова";"192207, г.Санкт-Петербург, Расстанная улица, дом 16, литер А";"766-56-32";"с 10-00 до 18-00, в  субботу с 11-00 ДО 18-00, выходной  день -  воскресенье";"7816010920";"1027807982773";"50";"";"";"Филиал";"Проект 2008";"";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"";"";"муниципальный округ Волковское"
"Московский";"Российская Национальная библиотека-филиал";"Российская Национальная библиотека-филиал";"Зайцев Владимир Николаевич";"196070, г.Санкт-Петербург, Московский проспект, дом 165, корпус 2, литер А";"723-97-09";"12.00 - 20.00, 11.00 - 19.00 - сб, вс. последний вт месяца - санитарный";"7808036089";"1027809256672";"";"edd@nlr.ru";"www.nlr.ru";"Филиал";"";"";"Санкт-Петербург, Садовая ул, д. 18";"";"Российская Национальная библиотека";"Парк Победы";"";"муниципальный округ Пулковский меридиан"
"Центральный";"Библиотека "Лиговская", филиал №4";"Санкт-Петербургское государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова". Библиотека "Лиговская" (филиал №4)";"Серейчик Сергей Станиславович";"191025, г.Санкт-Петербург, Лиговский проспект, дом 99, литер А";"764-16-65, 764-30-71, 764-31-71";"13.00 - 19.00. Воскресенье - 11.00-18.00. Выходной - суббота.";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/4/";"Филиал";"";"764-16-65";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"";"";"";"муниципальное образование Владимирский округ"
"Адмиралтейский";"Библиотека "Бронницкая", филиал № 12";"Санкт-Петербургское государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова". Библиотека "Бронницкая", филиал №12)";"Серейчик Сергей Станиславович";"198013, г.Санкт-Петербург, Бронницкая улица, дом 16, литер А";"316-56-79";"Понедельник – пятница – 13.00 – 20.00. Суббота – 11.00 - 18.00. Воскресенье - выходной день";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/12/";"Филиал";"";"";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова";"";"";"муниципальный округ Семеновский"
"Адмиралтейский";"Дом Плеханова";"Дом Плеханова. Российская Национальная библиотека-филиал.";"Филимонова Татьяна Ивановна";"198005, г.Санкт-Петербург, 4-я Красноармейская улица, дом 1/33, литер А";"316-74-11";"";"7808036089";"1027809256672";"";"domplekh@nlr.ru";"www.nlr.ru";"Филиал";"";"";"Санкт-Петербург, Садовая ул, д. 18";"";"Российская национальная библиотека";"Технологический институт";"";"муниципальное образование Измайловское"
"Адмиралтейский";"Библиотека "Семеновская", филиал № 11";"Санкт-Петербургское государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова". Библиотека "Семеновская", филиал №11)";"Серейчик Сергей Станиславович";"198013, г.Санкт-Петербург, Московский проспект, дом 50, литер А";"316-47-27";"Понедельник – пятница – 13.00 – 20.00. Суббота – 11.00 - 18.00. Воскресенье - выходной день";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/11/";"Филиал";"";"";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова";"";"";"муниципальный округ Семеновский"
"Центральный";"Детская библиотека им.А.С.Пушкина, филиал №2";"Центральная городская детская библиотека им.А.С.Пушкина, филиал №2";"Секретарева Людмила Григорьевна";"г.Санкт-Петербург, улица Марата, дом 72, литер А";"15-42-62, 764-90-75";"Часы работы: 11.00-18.00. Среда: 14.00-18.00";"7826740876";"1037851029281";"";"mailto:Llib3@mail.wplus.net";"http://www.pushkinlib.spb.ru/";"Филиал";"";"";"190000, г.Санкт-Петербург, Большая Морская улица, 33";"";"Центральная городская детская библиотека имени А.С. Пушкина.";"Пушкинская, Лиговский проспект";"";"муниципальное образование Владимирский округ"
"Центральный";"Библиотека им. Н.А. Некрасова";"Санкт-Петербургское государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова". Библиотека им. Н.А. Некрасова (филиал №9)";"Серейчик Сергей Станиславович";"193024, г.Санкт-Петербург, 2-я Советская улица, дом 27/2, литер А";"274-01-69, 274-56-64";"Понедельник – пятница – 12.00 – 19.00. Суббота – выходной день. Воскресенье - 11.00 - 18.00";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/9/";"Филиал";"Проект 2008";"";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"";"";"";"муниципальное образование Смольнинское"
"Петроградский";"Центральная библиотека Петроградского района";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Петроградского района"";"Атаманова Гертруда Михайловна";"197101, г.Санкт-Петербург, Каменноостровский проспект, дом 34, литер А";"346-34-76";"Ежедневно 12.00 - 19.00, суббота 11.00 - 18.00, воскресенье 10.00 - 17.00, выходной день: пятница.";"7813337490";"1057813317924";"";"s.f.d@mail.ru";"";"Основное, есть филиал";"";"";"197101, г.Санкт-Петербург, Каменноостровский проспект, дом 34";"";"Комитет по управлению городским имуществом";"Петроградская";"";"муниципальный округ №59"
"Петроградский";"Центральная районная библиотека им. А.С. Пушкина";"Центральная районная библиотека им. А.С. Пушкина. Централизованная библиотечная система Петроградского района";"Атаманова Гертруда Михайловна";"197101, г.Санкт-Петербург, Каменноостровский проспект, дом 36/73, литер Б";"346-26-07";"Ежедневно с 12.00 до 19.00. Суббота с 11.00 до 18.00. оскресенье с 10.00 до 17.00. Выходной день: пятница";"7813337490";"1057813317924";"";"petr-crb@mail.ru";"http://lib-pushkina.ucoz.ru/";"Филиал";"";"";"Санкт-Петербург, Каменноостровский пр-кт, д. 34";"";"Централизованная библиотечная система Петроградского района";"Петроградская";"";"муниципальный округ №59"
"Петроградский";"Центральная районная детская библиотека";"Центральная районная детская библиотека. Централизованная библиотечная система Петроградского района";"Атаманова Гертруда Михайловна";"197101, г.Санкт-Петербург, Большой проспект П.С., дом 65, литер А";"232-41-29";"Ежедневно с 12.00 до 19.00. Суббота с 11.00 до 18.00. оскресенье с 10.00 до 17.00. Выходной день: пятница";"7813337490";"1057813317924";"";"";"http://www.library-gaidara.ru/rus/address.htm";"Филиал";"";"";"Санкт-Петербург, Каменноостровский пр-кт, д. 34";"";"Централизованная библиотечная система Петроградского района";"Петроградская";"Книжный фонд: свыше 74 тысяч экземпляров.";"муниципальный округ №59"
"Петроградский";"Библиотека им. Ленина, филиал №1";"Библиотека им. Ленина, филиал №1. Централизованная библиотечная система Петроградского района.";"Атаманова Гертруда Михайловна";"197198, г.Санкт-Петербург, улица Воскова, дом 2, литер А";"232-40-62, 232-30-68";"12.00-19.00, сб 11.00-18.00, вс, пн - выходной, последняя пт месяца - санитарный день";"7813337490";"1057813317924";"";"";"http://www.library-gaidara.ru";"Филиал";"";"";"Санкт-Петербург, Каменноостровский пр-кт, д. 34";"";"Централизованная библиотечная система Петроградского района";"Чкаловская, Петроградская, Горьковская";"";"муниципальный округ №59"
"Петроградский";"Библиотека им. Б.Лавренева, филиал №2";"Библиотека им. Б.Лавренева, филиал №2. Централизованная библиотечная система Петроградского района.";"Атаманова Гертруда Михайловна";"197022, г.Санкт-Петербург, набережная реки Карповки, дом 28, литер А";"346-09-17";"11.00-20.00, сб 11.00-18.00, вс - выходной, последняя пт месяца - санитарный день";"7813337490";"1057813317924";"";"";"http://www.library-gaidara.ru";"Филиал";"";"";"Санкт-Петербург, Каменноостровский пр-кт, д. 34";"";"Централизованная библиотечная система Петроградского района";"Петроградская";"";"муниципальный округ №63"
"Петроградский";"Юношеская библиотека имени А.П. Гайдара филиал № 3";"Юношеская библиотека имени А.П. Гайдара, филиал № 3. Централизованная библиотечная система Петроградского района.";"Атаманова Гертруда Михайловна";"197198, г.Санкт-Петербург, Большой проспект П.С., дом 18, литер А";"235-35-96";"Ежедневно 11.00 - 18.00, выходные дни: суббота, воскресенье. Санитарный день - последний день месяца.";"7813337490";"1057813317924";"";"";"http://www.library-gaidara.ru";"Филиал";"";"library-gaidara@hotmail.ru";"Санкт-Петербург, Каменноостровский пр-кт, д. 34";"";"Централизованная библиотечная система Петроградского района.";"Спортивная";"Книжный фонд: более 50 тысяч экземпляров";"муниципальный округ №62"
"Петроградский";"Библиотека Кировских островов, филиал №5";"Библиотека Кировских островов, филиал №5. Централизованная библиотечная система Петроградского района.";"Атаманова Гертруда Михайловна";"197110, г.Санкт-Петербург, Кемская улица, дом 8/3, литер А";"235-01-63";"12.00-19.00, пт. и сб. выходные, вс. 10.00-17.00";"7813337490";"1057813317924";"";"";"http://www.library-gaidara.ru";"Филиал";"";"";"Санкт-Петербург, Каменноостровский пр-кт, д. 34";"";"Централизованная библиотечная система Петроградского района.";"Крестовский остров";"Книжный фонд: более 40 тысяч экземпляров";"муниципальный округ №63"
"Петроградский";"Вторая детская библиотека, филиал № 6";"Вторая детская библиотека, филиал № 6. Централизованная библиотечная система Петроградского района.";"Атаманова Гертруда Михайловна";"197198, г.Санкт-Петербург, Татарский переулок, дом 1, литер А, (Кронверкский пр., дом 65а)";"232-21-64";"Ежедневно 11.00 - 18.00, выходные дни: суббота, воскресенье.";"7813337490";"1057813317924";"";"";"http://www.library-gaidara.ru";"Филиал";"";"";"Санкт-Петербург, Каменноостровский пр-кт, д. 34";"";"Централизованная библиотечная система Петроградского района.";"Горьковская, Спортивная";"Книжный фонд: около 43 тысяч экземпляров.";"муниципальный округ Введенский"
"Приморский";"Центральная районная библиотека им. М.Е. Салтыкова-Щедрина";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Приморского района Санкт-Петербуга". Центральная районная библиотека им. М.Е. Салтыкова-Щедрина";"Ефимова Антонина Александровна";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"393-32-30, 393-34-22, 393-37-97";"11.00-20.00, сб 11.00-18.00, вс 10.00-17.00, пт выходной, последний чт месяца - санитарный день";"7814335640";"1067847150777";"70";"prim_cbs@pochta.ru";"http://primcbs.ru/";"Основное, есть филиал";"";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"";"Комитет по управлению городским имуществом";"Пионерская";"В библиотеке имеется Детский отдел";"муниципальный округ №67"
"Приморский";"Библиотека Приморского района, филиал №1";"Централизованная библиотечная система Приморского района Санкт-Петербуга, филиал №1";"Рудакова Елена Яковлевна т. 492-37-45";"197342, г.Санкт-Петербург, Торжковская улица, дом 11, литер А";"492-20-16, 492-37-45";"13.00-20.00, сб и вс 11.00-17.00, пт- выходной, последний чт месяца - санитарный день";"7814335640";"1067847150777";"70";"fil1_cbs@mail.ru";"";"Филиал";"Проект 2008";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"";"Централизованная библиотечная система Приморского района";"";"";"муниципальный округ Черная речка"
"Приморский";"Библиотека им. Д.А. Фурманова, филиал №2";"Централизованная библиотечная система Приморского района Санкт-Петербуга, филиал №2 им. Д.А. Фурманова";"Шепелева Алла Павловна";"197183, г.Санкт-Петербург, набережная Черной речки, дом 12, литер А";"496-14-89";"14.00-20.00, сб 11.00-18.00, вс - выходной";"7814335640";"1067847150777";"50";"fil2_cbs@mail.ru";"";"Филиал";"Проект 2008";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"";"Централизованная библиотечная система Приморского района";"Черная речка";"";"муниципальный округ Черная речка"
"Приморский";"Библиотека Приморского района, филиал №5";"Централизованная библиотечная система Приморского района Санкт-Петербуга. Библиотека, филиал №5";"Ефимова Антонина Александровна";"197183, г.Санкт-Петербург, улица Савушкина, дом 16, литер А";"430-63-04";"Понедельник – пятница – 11.00 – 18.00. Суббота – 10.00 – 17.00. Воскресенье – выходной день. Последний рабочий день месяца - санитарный";"7814335640";"1067847150777";"";"fil5_cbs@mail.ru";"";"Филиал";"Проект 2008";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"";"Централизованная библиотечная система Приморского района";"Черная речка";"";"муниципальный округ Черная речка"
"Приморский";"Библиотека Приморского района, филиал №8";"Трофимова Ольга Анатольевна т. (812) 345-60-61 Санкт-Петербуга"Библиотека, филиал №8";"Трофимова Ольга Анатольевна т.345-60-61";"г.Санкт-Петербург, улица Савушкина, дом 128, корпус 1, литер Б";"345-34-72, 345-60-61";"Понедельник – пятница – 13.00 – 20.00. Суббота – 11.00 – 18.00. Воскресенье – выходной день";"7814335640";"1067847150777";"";"fil8_cbs@mail.ru";"";"Филиал";"Проект 2008";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"";"Трофимова Ольга Анатольевна т. (812) 345-60-61";"Старая деревня, Черная речка";"";"муниципальный округ №65"
"Петроградский";"Библиотека НИИ экспериментальной медицины";"Библиотека Научно-исследовательского института экспериментальной медицины Северо-Западного отделения РАМН";"Ткаченко Борис Иванович";"197022, г.Санкт-Петербург, улица Академика Павлова, дом 12, литер В";"234-68-68";"10.00 - 18.00, выходные - сб, вс";"7813045787";"1037828000198";"";"meddm1@yandex.ru";"";"Филиал";"";"234-28-39";"Санкт-Петербург, Академика Павлова ул, д. 12";"";"Научно-исследовательский институт экспериментальной медицины Северо-Западного отделения РАМН";"";"";"муниципальный округ №61"
"Василеостровский";"Детская библиотека, филиал №6";"Детская библиотека, филиал №6. Централизованная библиотечная система Василеостровского района";"Семевская Галина Дмитриевна (Елена Ильинична Дроздова)";"199057, г.Санкт-Петербург, переулок Каховского, дом 5, литер Б";"350-78-48, 350-64-10";"Понедельник - Пятница 11.00 - 18.00. Выходные дни - Суббота, Воскресенье";"7801031500";"1037800059560";"";"";"";"Филиал";"";"";"199155, г.Санкт-Петербург, Морская набережная, дом 17, литер Д";"";"Централизованная библиотечная система Василеостровского района";"Приморская";"";"муниципальный округ Остров Декабристов"
"Василеостровский";"Библиотека им. Н.Г.Чернышевского, филиал №1";"Библиотека им. Н.Г.Чернышевского, филиал №1. Централизованная библиотечная система Василеостровского района";"Семевская Галина Дмитриевна (Татьяна Владимировна Гущина)";"199155, г.Санкт-Петербург, проспект КИМа, дом 4, литер А";"350-12-00, 350-28-79";"13.00 - 20.00, сб 11.00 - 18.00. Выходные дни – Воскресенье, Понедельник";"7801031500";"1037800059560";"";"";"";"Филиал";"";"";"199155, г.Санкт-Петербург, Морская набережная, дом 17, литер Д";"";"Централизованная библиотечная система Василеостровского района";"Приморская";"";"муниципальный округ Остров Декабристов"
"Центральный";"Российская Национальная библиотека-филиал";"Российская Национальная библиотека-филиал";"Зайцев Владимир Николаевич";"191104, г.Санкт-Петербург, набережная реки Фонтанки, дом 36, литер А";"272-47-41, 272-39-02, 272-21-09";"";"7808036089";"1027809256672";"";"";"http://www.nlr.ru/nlr/location";"Филиал";"";"";"Санкт-Петербург, Садовая ул, д. 18";"";"Российская Национальная библиотека";"Маяковская, Гостинный двор";"";"муниципальное образование Литейный округ"
"Центральный";"Библиотека "На Стремянной", филиал №3";"Санкт-Петербургское государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова". Библиотека "На Стремянной" (филиал №3)";"Серейчик Сергей Станиславович";"г.Санкт-Петербург, Стремянная улица, дом 20, литер А";"761-41-65, 764-40-65";"13.00-19.00. Суббота – 11.00-18.00. Воскресенье - выходной день.";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/3/";"Филиал";"Проект 2008";"";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"";"Маяковская";"";"муниципальное образование Владимирский округ"
"Центральный";"Областная научная библиотека";"Ленинградское областное государственное учреждение культуры "Ленинградская областная универсальная научная библиотека"";"Блюдова Людмила Константиновна";"193144, г.Санкт-Петербург, Кирилловская улица, дом 19, литер А";"274-98-95, 274-97-64";"13.00 - 20.00, сб до 19.00, выходной - вс, последний день месяца - санитарный";"7825665601";"1037843127959";"";"lrl@spb.cityline.ru, reglib@so";"";"";"";"274-73-20";"193144, г.Санкт-Петербург, Кирилловская улица, дом 19, литер А";"";"Комитет по культуре Ленинградской области";"";"";"муниципальное образование Смольнинское"
